,1,image_path,spotify_track_url,track_name,artist,spotify_artist_url,album_name,spotify_album_url,2,song_length
49,26,https://i.scdn.co/image/ab67616d00004851d07a54abba4f5060c2486e3c,https://open.spotify.com/track/4MTNimMDRyFZv37Thcktwa,God of Music,SEVENTEEN,https://open.spotify.com/artist/7nqOGRxlXj7N2JYbgNEjYH,SEVENTEEN 11th Mini Album 'SEVENTEENTH HEAVEN',https://open.spotify.com/album/1rE0Gy69MFUh4GuXafWd0f,"Oct 24, 2023",3:25
50,27,https://i.scdn.co/image/ab67616d000048519b57e9b31c831fb2137c38e2,https://open.spotify.com/track/0t7kjpVLgOYITrSfFCoBEA,Gee,Girls' Generation,https://open.spotify.com/artist/0Sadg1vgvaPqGTOjxu0N6c,Oh! - The Second Album,https://open.spotify.com/album/4e841RxorIoZIufX8v7p7E,"Feb 17, 2024",3:21
51,28,https://i.scdn.co/image/ab67616d000048518cd1023ed6ec97598937d55c,https://open.spotify.com/track/6gcuJpHu0Ey30D5WR76y98,You & Me,JENNIE,https://open.spotify.com/artist/250b0Wlc5Vk0CoUsaCY84M,JENNIE Special Single [You & Me],https://open.spotify.com/album/1Vzh3fTdh0R0evafCcpNpL,"Oct 6, 2023",2:59
52,29,https://i.scdn.co/image/ab67616d0000485182dd2427e6d302711b1b9616,https://open.spotify.com/track/4uOBL4DDWWVx4RhYKlPbPC,Queencard,(G)I-DLE,https://open.spotify.com/artist/2AfmfGFbe0A0WsTYm0SDTx,I feel,https://open.spotify.com/album/3PQZnr5gf699uYEaGH93uG,"Sep 25, 2023",2:41
53,30,https://i.scdn.co/image/ab67616d00004851dd2c0e8a5d4b0c1e227e4c7b,https://open.spotify.com/track/26eV0R7nbqtlzh316ncU99,Fantastic Baby,BIGBANG,https://open.spotify.com/artist/4Kxlr1PRlDKEB0ekOCyHgX,ALIVE,https://open.spotify.com/album/5rI92smOlSS5d1Hq05BY7M,"Feb 17, 2024",3:50
54,31,https://i.scdn.co/image/ab67616d00004851c07d5d2fdc02ae252fcd07e5,https://open.spotify.com/track/5QDLhrAOJJdNAmCTJ8xMyW,Dynamite,BTS,https://open.spotify.com/artist/3Nrfpe0tUJi4K4DXYWgMUX,BE,https://open.spotify.com/album/6nYfHQnvkvOTNHnOhDT3sr,"Sep 25, 2023",3:19
55,32,https://i.scdn.co/image/ab67616d000048512cfb66b63fe85ccfff4109b1,https://open.spotify.com/track/3jsYQw78lrxJA2ysnmOIf9,Some,BOL4,https://open.spotify.com/artist/4k5fFEYgkWYrYvtOK3zVBl,Red Diary Page.1,https://open.spotify.com/album/0d3mf5fBaIBbozCgeEI9AE,"Feb 17, 2024",3:01
56,33,https://i.scdn.co/image/ab67616d00004851fb6e8a26c2c4d9a23f888a94,https://open.spotify.com/track/5w18nowVMRZrC5Na9Vxoth,"쏘리 쏘리 Sorry, Sorry",SUPER JUNIOR,https://open.spotify.com/artist/6gzXCdfYfFe5XKhPKkYqxV,"쏘리 쏘리 Sorry, Sorry - The 3rd Album",https://open.spotify.com/album/3v5XUoZzxbmJbxs7vWTua3,"Feb 17, 2024",3:52
57,34,https://i.scdn.co/image/ab67616d00004851a75d7535b8657385f8232449,https://open.spotify.com/track/1qosh64U6CR5ki1g1Rf2dZ,Love Lee,AKMU,https://open.spotify.com/artist/6OwKE9Ez6ALxpTaKcT5ayv,Love Lee,https://open.spotify.com/album/47xcjDSi1t6pQE2RvXKdUF,"Feb 17, 2024",2:59
58,35,https://i.scdn.co/image/ab67616d00004851eb366517758754ca13a4adf5,https://open.spotify.com/track/1Rrj7KyS2R6SP9CQMDJW1w,VERY NICE,SEVENTEEN,https://open.spotify.com/artist/7nqOGRxlXj7N2JYbgNEjYH,Love&Letter repackage album,https://open.spotify.com/album/7mP7AFehQDonPKEQiXvpvB,"Feb 17, 2024",3:12
59,36,https://i.scdn.co/image/ab67616d00004851c5543b3cce74f3edafcc8f59,https://open.spotify.com/track/5juCu4WFTFRZ2XilopAMTy,Bam Yang Gang,BIBI,https://open.spotify.com/artist/6UbmqUEgjLA6jAcXwbM1Z9,Bam Yang Gang,https://open.spotify.com/album/4QJZzFdGz2YlPZEHAlAJ6O,"Feb 24, 2024",2:26
60,37,https://i.scdn.co/image/ab67616d00004851ff8a783336acbef4b6fab82f,https://open.spotify.com/track/1rp986nzkyAX1wFpxzbwlC,Replay,SHINee,https://open.spotify.com/artist/2hRQKC0gqlZGPrmUKbcchR,The SHINee World - The First Album,https://open.spotify.com/album/2aiM53N5DGm5VXnfjswpI7,"Feb 17, 2024",3:33
61,38,https://i.scdn.co/image/ab67616d00004851ca0bf7a337ed7a8bcc34948e,https://open.spotify.com/track/3WUyu94psXrYV6HZbXgcFA,Rover,KAI,https://open.spotify.com/artist/6iVo62B0bdTknRcrktCmak,Rover - The 3rd Mini Album,https://open.spotify.com/album/5gzd4IZ9KTwW6Hhgll1K7U,"Sep 25, 2023",2:54
62,39,https://i.scdn.co/image/ab67616d0000485136484b845182eec375dace20,https://open.spotify.com/track/5fWKr5p15BTazjflJ6HX5j,Catallena,Orange Caramel,https://open.spotify.com/artist/2QHTtUsN6Q13w3QHdfRqsK,THE THIRD SINGLE CATALLENA,https://open.spotify.com/album/3FeATTUjZWvmXW2kP9CHWY,"Feb 17, 2024",3:13
63,40,https://i.scdn.co/image/ab67616d0000485180e31ba0c05187e6310ef264,https://open.spotify.com/track/3AOf6YEpxQ894FmrwI9k96,Super,SEVENTEEN,https://open.spotify.com/artist/7nqOGRxlXj7N2JYbgNEjYH,SEVENTEEN 10th Mini Album 'FML',https://open.spotify.com/album/1JBzeeCJ3axQMVkqWbKh0I,"Sep 25, 2023",3:20
64,41,https://i.scdn.co/image/ab67616d00004851d71fd77b89d08bc1bda219c7,https://open.spotify.com/track/4QhnNyKDsAkXPwHkSnuc89,"Eve, Psyche & The Bluebeard’s wife",LE SSERAFIM,https://open.spotify.com/artist/4SpbR6yFEvexJuaBpgAU5p,UNFORGIVEN,https://open.spotify.com/album/4Oz7K9DRwwGMN49i4NbVDT,"Sep 25, 2023",3:05
65,42,https://i.scdn.co/image/ab67616d00004851e27ba26bc14a563bf3d09882,https://open.spotify.com/track/3gTQwwDNJ42CCLo3Sf4JDd,S-Class,Stray Kids,https://open.spotify.com/artist/2dIgFjalVxs4ThymZ67YCE,5-STAR,https://open.spotify.com/album/3Pel3gWsPxVpZVrciU0Fm6,"Sep 25, 2023",3:15
66,43,https://i.scdn.co/image/ab67616d000048514aeaaeeb0755f1d8a8b51738,https://open.spotify.com/track/0ARKW62l9uWIDYMZTUmJHF,Shut Down,BLACKPINK,https://open.spotify.com/artist/41MozSoPIsD1dJM0CLPjZF,BORN PINK,https://open.spotify.com/album/7jaSNQUBJbvfbZHLNFrV7P,"Sep 25, 2023",2:55
67,44,https://i.scdn.co/image/ab67616d000048511d03b5e88cee6870778a4d27,https://open.spotify.com/track/7mpdNiaQvygj2rHoxkzMfa,Bite Me,ENHYPEN,https://open.spotify.com/artist/5t5FqBwTcgKTaWmfEbwQY9,DARK BLOOD,https://open.spotify.com/album/7q65W5gVANjh1j1KXLeU0f,"Sep 25, 2023",2:37
68,45,https://i.scdn.co/image/ab67616d00004851c8f053fb33434f99e195e90f,https://open.spotify.com/track/4EsqgOzLn45dCHIDIhtg6W,Fast Forward,JEON SOMI,https://open.spotify.com/artist/7zYj9S9SdIunYCfSm7vzAR,GAME PLAN,https://open.spotify.com/album/7BAwtfjDEyG6l2nFlNkkLy,"Sep 25, 2023",2:40
69,46,https://i.scdn.co/image/ab67616d0000485112062f95939fd4de9def44e7,https://open.spotify.com/track/3F4lHPNHlvr3RpO4tpVOIs,In Bloom,ZEROBASEONE,https://open.spotify.com/artist/7cjg7EkeZy3OI5o9Qthc6n,YOUTH IN THE SHADE,https://open.spotify.com/album/7fV7RChHagCcKRnAaDRXuX,"Sep 25, 2023",3:00
70,47,https://i.scdn.co/image/ab67616d00004851df5022bdf1ac4bf52135c4be,https://open.spotify.com/track/3CYH422oy1cZNoo0GTG1TK,Psycho,Red Velvet,https://open.spotify.com/artist/1z4g3DjTBBZKhvAroFlhOM,‘The ReVe Festival’ Finale,https://open.spotify.com/album/3rVtm00UfbuzWOewdm4iYM,"Sep 25, 2023",3:30
71,48,https://i.scdn.co/image/ab67616d00004851ac815bdd584468a7aa0216e1,https://open.spotify.com/track/6NnCWIWV740gP7DQ8kqdIE,Nxde,(G)I-DLE,https://open.spotify.com/artist/2AfmfGFbe0A0WsTYm0SDTx,I love,https://open.spotify.com/album/2Hyuin3i1cSZ1FlQFeCPZH,"Sep 25, 2023",2:58
72,49,https://i.scdn.co/image/ab67616d000048513bb056e3160b85ee86c1194d,https://open.spotify.com/track/0rhI6gvOeCKA502RdJAbfs,Sugar Rush Ride,TOMORROW X TOGETHER,https://open.spotify.com/artist/0ghlgldX5Dd6720Q3qFyQB,The Name Chapter: TEMPTATION,https://open.spotify.com/album/7gkb4MxKe9rnoR3wxbJXJg,"Sep 25, 2023",3:06
73,50,https://i.scdn.co/image/ab67616d00004851ff7c2dfd0ed9b2cf6bf9c818,https://open.spotify.com/track/2qQpFbqqkLOGySgNK8wBXt,FANCY,TWICE,https://open.spotify.com/artist/7n2Ycct7Beij7Dj7meI4X0,FANCY YOU,https://open.spotify.com/album/3aLpWFejbsdyafODLXRqwF,"Sep 25, 2023",3:33
